,model,data,ticker,timeframe,datasize,MAPE,DirecAccuracy,MSE
1064,LGBMwithClose,gbm,DLF.NS,hourly,56,0.005925047623266887,0.5357142857142857,12.389472248947856
1065,LGBMwithClose,gbm,EMBASSY.BO,hourly,56,0.004491513075431005,0.5,12.430122397594904
1066,LGBMwithClose,gbm,GC=F,hourly,315,0.0019974672322639214,0.5396825396825397,103.22627996627966
1067,LGBMwithClose,gbm,GODREJPROP.NS,hourly,56,0.007920337741360904,0.5,1332.165172111847
1068,LGBMwithClose,gbm,GOOGL,hourly,188,0.004427042171716118,0.4734042553191489,0.1780240341899362
1069,LGBMwithClose,gbm,LODHA.NS,hourly,56,0.010065419848276002,0.44642857142857145,277.84192918547853
1070,LGBMwithClose,gbm,META,hourly,188,0.009177912274614364,0.5319148936170213,27.299727255889138
1071,LGBMwithClose,gbm,MINDSPACE.BO,hourly,56,0.0049040323998963565,0.4107142857142857,2.6194850191957575
1072,LGBMwithClose,gbm,MSFT,hourly,188,0.004440840664231267,0.5,27.732690525910332
1073,LGBMwithClose,gbm,NVDA,hourly,188,0.021094865506096874,0.5106382978723404,2.309288430305307
1074,LGBMwithClose,gbm,NXST.BO,hourly,56,0.008598334469652236,0.44642857142857145,1.0600589248472392
1075,LGBMwithClose,gbm,OBEROIRLTY.NS,hourly,56,0.0411118462196732,0.44642857142857145,13617.951054237765
1076,LGBMwithClose,gbm,^DJI,hourly,54,0.003427728429442719,0.42592592592592593,32257.72921602604
1077,LGBMwithClose,gbm,^GSPC,hourly,54,0.003124560210490785,0.42592592592592593,398.41664565001565
1078,LGBMwithClose,gbm,^N225,hourly,55,0.0036195224418878584,0.6363636363636364,24101.089835697192
1079,LGBMwithClose,gbm,^NSEI,hourly,56,0.0028099794170948884,0.375,5916.368906831017
1080,LGBMwithClose,gbm_nl,AAPL,daily,67,0.044564371227015925,0.4626865671641791,0.7249902103625996
1081,LGBMwithClose,gbm_nl,BIRET.BO,daily,68,0.01462327711264788,0.5441176470588235,18.032887137689347
1082,LGBMwithClose,gbm_nl,DLF.NS,daily,68,0.04607898948344565,0.6176470588235294,0.1268112968535131
1083,LGBMwithClose,gbm_nl,EMBASSY.BO,daily,68,0.023074155921260275,0.4264705882352941,147.97282373211954
1084,LGBMwithClose,gbm_nl,GC=F,daily,69,0.03321588090344605,0.43478260869565216,2564.670834843444
1085,LGBMwithClose,gbm_nl,GODREJPROP.NS,daily,68,0.026618477246564014,0.5882352941176471,3777.728615577105
1086,LGBMwithClose,gbm_nl,GOOGL,daily,67,0.03070930592419292,0.47761194029850745,0.3194613672072601
1087,LGBMwithClose,gbm_nl,LODHA.NS,daily,68,0.024387753620422586,0.5441176470588235,1550.1119354071561
1088,LGBMwithClose,gbm_nl,META,daily,67,0.024240623314408627,0.4925373134328358,43.187190737724386
1089,LGBMwithClose,gbm_nl,MINDSPACE.BO,daily,68,0.009853564108328786,0.4852941176470588,16.717280686963328
1090,LGBMwithClose,gbm_nl,MSFT,daily,67,0.1515720883664213,0.43283582089552236,463.45290301439735
1091,LGBMwithClose,gbm_nl,NVDA,daily,67,0.028295762736579664,0.4925373134328358,4.0603347238018e-05
1092,LGBMwithClose,gbm_nl,NXST.BO,daily,68,0.027306485456712735,0.4852941176470588,27.716852824644032
1093,LGBMwithClose,gbm_nl,OBEROIRLTY.NS,daily,68,0.047896778334619056,0.45588235294117646,5271.038147198418
1094,LGBMwithClose,gbm_nl,^DJI,daily,67,0.028364355203110553,0.43283582089552236,933278.3692723637
1095,LGBMwithClose,gbm_nl,^GSPC,daily,67,0.009641584927318543,0.582089552238806,1227.1626299684617
1096,LGBMwithClose,gbm_nl,^N225,daily,65,0.01449463265736906,0.47692307692307695,805769.7317281849
1097,LGBMwithClose,gbm_nl,^NSEI,daily,67,0.012157130066680974,0.3880597014925373,112001.61096078168
1098,LGBMwithClose,gbm_nl,AAPL,hourly,188,0.003231396744366666,0.4946808510638298,0.4246161895096365
1099,LGBMwithClose,gbm_nl,BIRET.BO,hourly,56,0.004510957993061614,0.5357142857142857,4.36257765964659
1100,LGBMwithClose,gbm_nl,DLF.NS,hourly,56,0.006948462978031665,0.42857142857142855,29.644897067097784
1101,LGBMwithClose,gbm_nl,EMBASSY.BO,hourly,56,0.004585186833981664,0.42857142857142855,4.375647335679692
1102,LGBMwithClose,gbm_nl,GC=F,hourly,315,0.006001774460433332,0.5142857142857142,994.9020022064292
1103,LGBMwithClose,gbm_nl,GODREJPROP.NS,hourly,56,0.02050988770056094,0.48214285714285715,8963.98137297041
1104,LGBMwithClose,gbm_nl,GOOGL,hourly,188,0.004375569874408068,0.4627659574468085,1.2528956253097998
1105,LGBMwithClose,gbm_nl,LODHA.NS,hourly,56,0.008828094773979675,0.4642857142857143,80.55952027187502
